contentid,title,addr1,addr2,mapy,mapx,status,region,islandId,islandName,method,confidence,reason,candidates
"2734025","검디관광농원캠핑장","인천광역시 강화군 길상면 동검길 159-47","","37.5869797053","126.5127740779","OUT_OF_SCOPE","","","","RULE","0.9","동검도는 18개 서비스 섬 대상에서 제외",""
"2757627","동검도노을캠핑장","인천광역시 강화군 길상면 동검길 159-13","","37.5873157243","126.5097632328","OUT_OF_SCOPE","","","","RULE","0.9","동검도는 18개 서비스 섬 대상에서 제외",""
"2768107","선재낚시공원","인천광역시 옹진군 영흥면 선재로226번길 164","","37.2542685314","126.5220129578","OUT_OF_SCOPE","","","","RULE","0.9","선재도는 18개 서비스 섬 대상에서 제외",""
"2734732","선재오토캠핑장","인천광역시 옹진군 영흥면 선재로186번길 86-37","","37.2498191272","126.5265932179","OUT_OF_SCOPE","","","","RULE","0.9","선재도는 18개 서비스 섬 대상에서 제외",""
"2908110","태그하우스풀빌라","인천광역시 강화군 길상면 동검길154번길 24-19","","37.5915040724","126.5067439485","OUT_OF_SCOPE","","","","RULE","0.9","동검도는 18개 서비스 섬 대상에서 제외",""
"2730013","트리캠핑장","인천광역시 옹진군 영흥면 선재로306번길 27-55","","37.2568736623","126.5150051912","OUT_OF_SCOPE","","","","RULE","0.9","선재도는 18개 서비스 섬 대상에서 제외",""
"2729986","하늘정원캠핑장","인천광역시 강화군 길상면 동검길 21-1","","37.5961620255","126.5159874181","OUT_OF_SCOPE","","","","RULE","0.9","동검도는 18개 서비스 섬 대상에서 제외",""
